test name,category, real vulnerability, cwe, Benchmark version: 1.2, 2016-06-1
BenchmarkTest00001,pathtraver,TRUE,22,,
BenchmarkTest00002,pathtraver,TRUE,22,,
BenchmarkTest00003,hash,TRUE,328,,
BenchmarkTest00004,trustbound,TRUE,501,,
BenchmarkTest00005,crypto,TRUE,327,,
BenchmarkTest00006,cmdi,TRUE,78,,
BenchmarkTest00007,cmdi,TRUE,78,,
BenchmarkTest00008,sqli,TRUE,89,,
BenchmarkTest00009,hash,FALSE,328,,
BenchmarkTest00010,weakrand,FALSE,330,,
BenchmarkTest00011,pathtraver,TRUE,22,,
BenchmarkTest00012,ldapi,TRUE,90,,
BenchmarkTest00013,xss,TRUE,79,,
BenchmarkTest00014,xss,TRUE,79,,
BenchmarkTest00015,cmdi,TRUE,78,,
BenchmarkTest00016,securecookie,FALSE,614,,
BenchmarkTest00017,cmdi,TRUE,78,,
BenchmarkTest00018,sqli,TRUE,89,,
BenchmarkTest00019,crypto,TRUE,327,,
BenchmarkTest00020,crypto,TRUE,327,,
BenchmarkTest00021,ldapi,TRUE,90,,
BenchmarkTest00022,hash,FALSE,328,,
BenchmarkTest00023,weakrand,TRUE,330,,
BenchmarkTest00024,sqli,TRUE,89,,
BenchmarkTest00025,sqli,TRUE,89,,
BenchmarkTest00026,sqli,TRUE,89,,
BenchmarkTest00027,sqli,TRUE,89,,
BenchmarkTest00028,pathtraver,TRUE,22,,
BenchmarkTest00029,hash,TRUE,328,,
BenchmarkTest00030,xss,TRUE,79,,
BenchmarkTest00031,trustbound,TRUE,501,,
BenchmarkTest00032,sqli,TRUE,89,,
BenchmarkTest00033,sqli,TRUE,89,,
BenchmarkTest00034,sqli,TRUE,89,,
BenchmarkTest00035,crypto,TRUE,327,,
BenchmarkTest00036,xss,TRUE,79,,
BenchmarkTest00037,sqli,TRUE,89,,
BenchmarkTest00038,sqli,TRUE,89,,
BenchmarkTest00039,sqli,TRUE,89,,
BenchmarkTest00040,pathtraver,TRUE,22,,
BenchmarkTest00041,xss,TRUE,79,,
BenchmarkTest00042,weakrand,FALSE,330,,
BenchmarkTest00043,sqli,TRUE,89,,
BenchmarkTest00044,ldapi,TRUE,90,,
BenchmarkTest00045,pathtraver,TRUE,22,,
BenchmarkTest00046,hash,TRUE,328,,
BenchmarkTest00047,xss,TRUE,79,,
BenchmarkTest00048,xss,TRUE,79,,
BenchmarkTest00049,xss,TRUE,79,,
BenchmarkTest00050,crypto,TRUE,327,,
